file	original_loc	target_rust_path	status	agent_id	started_at	completed_at	notes
common\EnumOps.h	77	rust\translations\common/EnumOps.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\Error.cpp	234	rust\translations\common/Error.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\Error.h	85	rust\translations\common/Error.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\FastJmp.cpp	83	rust\translations\common/FastJmp.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\FastJmp.h	21	rust\translations\common/FastJmp.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\FileSystem.cpp	2322	rust\translations\common/FileSystem.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\FileSystem.h	177	rust\translations\common/FileSystem.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\FPControl.h	180	rust\translations\common/FPControl.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\HashCombine.h	11	rust\translations\common/HashCombine.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\HeapArray.h	336	rust\translations\common/HeapArray.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\HeterogeneousContainers.h	56	rust\translations\common/HeterogeneousContainers.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\HostSys.cpp	166	rust\translations\common/HostSys.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\HostSys.h	167	rust\translations\common/HostSys.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\HTTPDownloader.cpp	280	rust\translations\common/HTTPDownloader.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\HTTPDownloader.h	79	rust\translations\common/HTTPDownloader.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\HTTPDownloaderCurl.cpp	174	rust\translations\common/HTTPDownloaderCurl.rs	pending				
common\HTTPDownloaderCurl.h	28	rust\translations\common/HTTPDownloaderCurl.rs	pending				
common\HTTPDownloaderWinHTTP.cpp	277	rust\translations\common/HTTPDownloaderWinHTTP.rs	pending				
common\HTTPDownloaderWinHTTP.h	30	rust\translations\common/HTTPDownloaderWinHTTP.rs	pending				
common\Image.cpp	1152	rust\translations\common/Image.rs	translated	agent-batch-fillin-001	2026-06-19T04.55.43	agent-batch-002
common\Image.h	117	rust\translations\common/Image.rs	translated	agent-batch-fillin-001	2026-06-19T04.55.43	agent-batch-002
common\Linux\LnxHostSys.cpp	283	rust\translations\common/Linux/LnxHostSys.rs	pending				
common\Linux\LnxMisc.cpp	330	rust\translations\common/Linux/LnxMisc.rs	pending				
common\Linux\LnxThreads.cpp	294	rust\translations\common/Linux/LnxThreads.rs	pending				
common\LRUCache.h	105	rust\translations\common/LRUCache.rs	translated	agent-batch-fillin-001		2026-06-19T04.48.29	agent-batch-001	filled-in missing SetMaxCapacity/Evict/Remove/SetManualEvict/ManualEvict and manual_evict field
common\MD5Digest.cpp	176	rust\translations\common/MD5Digest.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\MD5Digest.h	16	rust\translations\common/MD5Digest.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\MemoryInterface.cpp	131	rust\translations\common/MemoryInterface.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\MemoryInterface.h	43	rust\translations\common/MemoryInterface.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\MemorySettingsInterface.cpp	276	rust\translations\common/MemorySettingsInterface.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\MemorySettingsInterface.h	51	rust\translations\common/MemorySettingsInterface.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\MRCHelpers.h	77	rust\translations\common/MRCHelpers.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\Path.h	62	rust\translations\common/Path.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\Pcsx2Defs.h	145	rust\translations\common/Pcsx2Defs.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\Pcsx2Types.h	94	rust\translations\common/Pcsx2Types.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\Perf.cpp	193	rust\translations\common/Perf.rs	translated	agent-batch-fillin-001	2026-06-19T04.55.43	agent-batch-002
common\Perf.h	25	rust\translations\common/Perf.rs	translated	agent-batch-fillin-001	2026-06-19T04.55.43	agent-batch-002
common\PrecompiledHeader.cpp	3	rust\translations\common/PrecompiledHeader.rs	pending				
common\PrecompiledHeader.h	7	rust\translations\common/PrecompiledHeader.rs	pending				
common\ProgressCallback.cpp	196	rust\translations\common/ProgressCallback.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\ProgressCallback.h	85	rust\translations\common/ProgressCallback.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\ReadbackSpinManager.cpp	191	rust\translations\common/ReadbackSpinManager.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\ReadbackSpinManager.h	46	rust\translations\common/ReadbackSpinManager.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\RedtapeWilCom.h	15	rust\translations\common/RedtapeWilCom.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\RedtapeWindows.h	17	rust\translations\common/RedtapeWindows.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\ScopedGuard.h	44	rust\translations\common/ScopedGuard.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\Semaphore.cpp	165	rust\translations\common/Semaphore.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\SettingsInterface.h	221	rust\translations\common/SettingsInterface.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\SettingsWrapper.cpp	186	rust\translations\common/SettingsWrapper.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\SettingsWrapper.h	108	rust\translations\common/SettingsWrapper.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\SingleRegisterTypes.h	153	rust\translations\common/SingleRegisterTypes.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\SmallString.cpp	705	rust\translations\common/SmallString.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\SmallString.h	342	rust\translations\common/SmallString.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\StackWalker.cpp	1127	rust\translations\common/StackWalker.rs	pending				
common\StackWalker.h	155	rust\translations\common/StackWalker.rs	pending				
common\StringUtil.cpp	468	rust\translations\common/StringUtil.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\StringUtil.h	290	rust\translations\common/StringUtil.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\TextureDecompress.cpp	962	rust\translations\common/TextureDecompress.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\TextureDecompress.h	165	rust\translations\common/TextureDecompress.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\Threading.h	213	rust\translations\common/Threading.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\Timer.cpp	158	rust\translations\common/Timer.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\Timer.h	35	rust\translations\common/Timer.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\VectorIntrin.h	38	rust\translations\common/VectorIntrin.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\WAVWriter.cpp	95	rust\translations\common/WAVWriter.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\WAVWriter.h	28	rust\translations\common/WAVWriter.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\WindowInfo.cpp	212	rust\translations\common/WindowInfo.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\WindowInfo.h	35	rust\translations\common/WindowInfo.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\Windows\WinHostSys.cpp	297	rust\translations\common/Windows/WinHostSys.rs	pending				
common\Windows\WinMisc.cpp	123	rust\translations\common/Windows/WinMisc.rs	pending				
common\Windows\WinThreads.cpp	244	rust\translations\common/Windows/WinThreads.rs	pending				
common\WrappedMemCopy.h	37	rust\translations\common/WrappedMemCopy.rs	translated			2026-06-19T04.48.29	agent-batch-001
common\YAML.cpp	69	rust\translations\common/YAML.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\YAML.h	12	rust\translations\common/YAML.rs	translated			2026-06-19T04.55.43	agent-batch-002
common\ZipHelpers.h	121	rust\translations\common/ZipHelpers.rs	translated			2026-06-19T04.48.29	agent-batch-001
pcsx2-gsrunner\Main.cpp	1138	rust\translations\pcsx2-gsrunner/Main.rs	pending				
pcsx2-qt\AboutDialog.cpp	127	rust\translations\pcsx2-qt/AboutDialog.rs	pending				
pcsx2-qt\AboutDialog.h	25	rust\translations\pcsx2-qt/AboutDialog.rs	pending				
pcsx2-qt\AsyncDialogs.cpp	311	rust\translations\pcsx2-qt/AsyncDialogs.rs	pending				
pcsx2-qt\AsyncDialogs.h	157	rust\translations\pcsx2-qt/AsyncDialogs.rs	pending				
pcsx2-qt\AutoUpdaterDialog.cpp	785	rust\translations\pcsx2-qt/AutoUpdaterDialog.rs	pending				
pcsx2-qt\AutoUpdaterDialog.h	57	rust\translations\pcsx2-qt/AutoUpdaterDialog.rs	pending				
pcsx2-qt\ColorPickerButton.cpp	43	rust\translations\pcsx2-qt/ColorPickerButton.rs	pending				
pcsx2-qt\ColorPickerButton.h	21	rust\translations\pcsx2-qt/ColorPickerButton.rs	pending				
pcsx2-qt\CoverDownloadDialog.cpp	142	rust\translations\pcsx2-qt/CoverDownloadDialog.rs	pending				
pcsx2-qt\CoverDownloadDialog.h	48	rust\translations\pcsx2-qt/CoverDownloadDialog.rs	pending				
pcsx2-qt\Debugger\AnalysisOptionsDialog.cpp	27	rust\translations\pcsx2-qt/Debugger/AnalysisOptionsDialog.rs	pending				
pcsx2-qt\Debugger\AnalysisOptionsDialog.h	16	rust\translations\pcsx2-qt/Debugger/AnalysisOptionsDialog.rs	pending				
pcsx2-qt\Debugger\Breakpoints\BreakpointDialog.cpp	162	rust\translations\pcsx2-qt/Debugger/Breakpoints/BreakpointDialog.rs	pending				
pcsx2-qt\Debugger\Breakpoints\BreakpointDialog.h	30	rust\translations\pcsx2-qt/Debugger/Breakpoints/BreakpointDialog.rs	pending				
pcsx2-qt\Debugger\Breakpoints\BreakpointModel.cpp	639	rust\translations\pcsx2-qt/Debugger/Breakpoints/BreakpointModel.rs	pending				
pcsx2-qt\Debugger\Breakpoints\BreakpointModel.h	58	rust\translations\pcsx2-qt/Debugger/Breakpoints/BreakpointModel.rs	pending				
pcsx2-qt\Debugger\Breakpoints\BreakpointView.cpp	147	rust\translations\pcsx2-qt/Debugger/Breakpoints/BreakpointView.rs	pending				
pcsx2-qt\Debugger\Breakpoints\BreakpointView.h	29	rust\translations\pcsx2-qt/Debugger/Breakpoints/BreakpointView.rs	pending				
pcsx2-qt\Debugger\DebuggerEvents.h	47	rust\translations\pcsx2-qt/Debugger/DebuggerEvents.rs	pending				
pcsx2-qt\Debugger\DebuggerSettingsManager.cpp	157	rust\translations\pcsx2-qt/Debugger/DebuggerSettingsManager.rs	pending				
pcsx2-qt\Debugger\DebuggerSettingsManager.h	23	rust\translations\pcsx2-qt/Debugger/DebuggerSettingsManager.rs	pending				
pcsx2-qt\Debugger\DebuggerView.cpp	256	rust\translations\pcsx2-qt/Debugger/DebuggerView.rs	pending				
pcsx2-qt\Debugger\DebuggerView.h	165	rust\translations\pcsx2-qt/Debugger/DebuggerView.rs	pending				
pcsx2-qt\Debugger\DebuggerWindow.cpp	460	rust\translations\pcsx2-qt/Debugger/DebuggerWindow.rs	pending				
pcsx2-qt\Debugger\DebuggerWindow.h	60	rust\translations\pcsx2-qt/Debugger/DebuggerWindow.rs	pending				
pcsx2-qt\Debugger\DisassemblyView.cpp	917	rust\translations\pcsx2-qt/Debugger/DisassemblyView.rs	pending				
pcsx2-qt\Debugger\DisassemblyView.h	79	rust\translations\pcsx2-qt/Debugger/DisassemblyView.rs	pending				
pcsx2-qt\Debugger\Docking\DockLayout.cpp	743	rust\translations\pcsx2-qt/Debugger/Docking/DockLayout.rs	pending				
pcsx2-qt\Debugger\Docking\DockLayout.h	121	rust\translations\pcsx2-qt/Debugger/Docking/DockLayout.rs	pending				
pcsx2-qt\Debugger\Docking\DockManager.cpp	702	rust\translations\pcsx2-qt/Debugger/Docking/DockManager.rs	pending				
pcsx2-qt\Debugger\Docking\DockManager.h	81	rust\translations\pcsx2-qt/Debugger/Docking/DockManager.rs	pending				
pcsx2-qt\Debugger\Docking\DockMenuBar.cpp	270	rust\translations\pcsx2-qt/Debugger/Docking/DockMenuBar.rs	pending				
pcsx2-qt\Debugger\Docking\DockMenuBar.h	68	rust\translations\pcsx2-qt/Debugger/Docking/DockMenuBar.rs	pending				
pcsx2-qt\Debugger\Docking\DockTables.cpp	188	rust\translations\pcsx2-qt/Debugger/Docking/DockTables.rs	pending				
pcsx2-qt\Debugger\Docking\DockTables.h	57	rust\translations\pcsx2-qt/Debugger/Docking/DockTables.rs	pending				
pcsx2-qt\Debugger\Docking\DockUtils.cpp	86	rust\translations\pcsx2-qt/Debugger/Docking/DockUtils.rs	pending				
pcsx2-qt\Debugger\Docking\DockUtils.h	33	rust\translations\pcsx2-qt/Debugger/Docking/DockUtils.rs	pending				
pcsx2-qt\Debugger\Docking\DockViews.cpp	247	rust\translations\pcsx2-qt/Debugger/Docking/DockViews.rs	pending				
pcsx2-qt\Debugger\Docking\DockViews.h	85	rust\translations\pcsx2-qt/Debugger/Docking/DockViews.rs	pending				
pcsx2-qt\Debugger\Docking\DropIndicators.cpp	473	rust\translations\pcsx2-qt/Debugger/Docking/DropIndicators.rs	pending				
pcsx2-qt\Debugger\Docking\DropIndicators.h	85	rust\translations\pcsx2-qt/Debugger/Docking/DropIndicators.rs	pending				
pcsx2-qt\Debugger\Docking\LayoutEditorDialog.cpp	81	rust\translations\pcsx2-qt/Debugger/Docking/LayoutEditorDialog.rs	pending				
pcsx2-qt\Debugger\Docking\LayoutEditorDialog.h	32	rust\translations\pcsx2-qt/Debugger/Docking/LayoutEditorDialog.rs	pending				
pcsx2-qt\Debugger\Docking\NoLayoutsWidget.cpp	13	rust\translations\pcsx2-qt/Debugger/Docking/NoLayoutsWidget.rs	pending				
pcsx2-qt\Debugger\Docking\NoLayoutsWidget.h	14	rust\translations\pcsx2-qt/Debugger/Docking/NoLayoutsWidget.rs	pending				
pcsx2-qt\Debugger\JsonValueWrapper.h	32	rust\translations\pcsx2-qt/Debugger/JsonValueWrapper.rs	pending				
pcsx2-qt\Debugger\Memory\MemorySearchView.cpp	642	rust\translations\pcsx2-qt/Debugger/Memory/MemorySearchView.rs	pending				
pcsx2-qt\Debugger\Memory\MemorySearchView.h	132	rust\translations\pcsx2-qt/Debugger/Memory/MemorySearchView.rs	pending				
pcsx2-qt\Debugger\Memory\MemoryView.cpp	845	rust\translations\pcsx2-qt/Debugger/Memory/MemoryView.rs	pending				
pcsx2-qt\Debugger\Memory\MemoryView.h	131	rust\translations\pcsx2-qt/Debugger/Memory/MemoryView.rs	pending				
pcsx2-qt\Debugger\Memory\SavedAddressesModel.cpp	187	rust\translations\pcsx2-qt/Debugger/Memory/SavedAddressesModel.rs	pending				
pcsx2-qt\Debugger\Memory\SavedAddressesModel.h	46	rust\translations\pcsx2-qt/Debugger/Memory/SavedAddressesModel.rs	pending				
pcsx2-qt\Debugger\Memory\SavedAddressesView.cpp	133	rust\translations\pcsx2-qt/Debugger/Memory/SavedAddressesView.rs	pending				
pcsx2-qt\Debugger\Memory\SavedAddressesView.h	20	rust\translations\pcsx2-qt/Debugger/Memory/SavedAddressesView.rs	pending				
pcsx2-qt\Debugger\ModuleModel.cpp	124	rust\translations\pcsx2-qt/Debugger/ModuleModel.rs	pending				
pcsx2-qt\Debugger\ModuleModel.h	42	rust\translations\pcsx2-qt/Debugger/ModuleModel.rs	pending				
pcsx2-qt\Debugger\ModuleView.cpp	92	rust\translations\pcsx2-qt/Debugger/ModuleView.rs	pending				
pcsx2-qt\Debugger\ModuleView.h	18	rust\translations\pcsx2-qt/Debugger/ModuleView.rs	pending				
pcsx2-qt\Debugger\RegisterView.cpp	394	rust\translations\pcsx2-qt/Debugger/RegisterView.rs	pending				
pcsx2-qt\Debugger\RegisterView.h	52	rust\translations\pcsx2-qt/Debugger/RegisterView.rs	pending				
pcsx2-qt\Debugger\StackModel.cpp	110	rust\translations\pcsx2-qt/Debugger/StackModel.rs	pending				
pcsx2-qt\Debugger\StackModel.h	39	rust\translations\pcsx2-qt/Debugger/StackModel.rs	pending				
pcsx2-qt\Debugger\StackView.cpp	71	rust\translations\pcsx2-qt/Debugger/StackView.rs	pending				
pcsx2-qt\Debugger\StackView.h	17	rust\translations\pcsx2-qt/Debugger/StackView.rs	pending				
pcsx2-qt\Debugger\SymbolTree\NewSymbolDialogs.cpp	541	rust\translations\pcsx2-qt/Debugger/SymbolTree/NewSymbolDialogs.rs	pending				
pcsx2-qt\Debugger\SymbolTree\NewSymbolDialogs.h	121	rust\translations\pcsx2-qt/Debugger/SymbolTree/NewSymbolDialogs.rs	pending				
pcsx2-qt\Debugger\SymbolTree\SymbolTreeDelegates.cpp	434	rust\translations\pcsx2-qt/Debugger/SymbolTree/SymbolTreeDelegates.rs	pending				
pcsx2-qt\Debugger\SymbolTree\SymbolTreeDelegates.h	66	rust\translations\pcsx2-qt/Debugger/SymbolTree/SymbolTreeDelegates.rs	pending				
pcsx2-qt\Debugger\SymbolTree\SymbolTreeLocation.cpp	206	rust\translations\pcsx2-qt/Debugger/SymbolTree/SymbolTreeLocation.rs	pending				
pcsx2-qt\Debugger\SymbolTree\SymbolTreeLocation.h	34	rust\translations\pcsx2-qt/Debugger/SymbolTree/SymbolTreeLocation.rs	pending				
pcsx2-qt\Debugger\SymbolTree\SymbolTreeModel.cpp	427	rust\translations\pcsx2-qt/Debugger/SymbolTree/SymbolTreeModel.rs	pending				
pcsx2-qt\Debugger\SymbolTree\SymbolTreeModel.h	69	rust\translations\pcsx2-qt/Debugger/SymbolTree/SymbolTreeModel.rs	pending				
pcsx2-qt\Debugger\SymbolTree\SymbolTreeNode.cpp	695	rust\translations\pcsx2-qt/Debugger/SymbolTree/SymbolTreeNode.rs	pending				
pcsx2-qt\Debugger\SymbolTree\SymbolTreeNode.h	100	rust\translations\pcsx2-qt/Debugger/SymbolTree/SymbolTreeNode.rs	pending				
pcsx2-qt\Debugger\SymbolTree\SymbolTreeViews.cpp	1012	rust\translations\pcsx2-qt/Debugger/SymbolTree/SymbolTreeViews.rs	pending				
pcsx2-qt\Debugger\SymbolTree\SymbolTreeViews.h	151	rust\translations\pcsx2-qt/Debugger/SymbolTree/SymbolTreeViews.rs	pending				
pcsx2-qt\Debugger\SymbolTree\TypeString.cpp	138	rust\translations\pcsx2-qt/Debugger/SymbolTree/TypeString.rs	pending				
pcsx2-qt\Debugger\SymbolTree\TypeString.h	14	rust\translations\pcsx2-qt/Debugger/SymbolTree/TypeString.rs	pending				
pcsx2-qt\Debugger\ThreadModel.cpp	125	rust\translations\pcsx2-qt/Debugger/ThreadModel.rs	pending				
pcsx2-qt\Debugger\ThreadModel.h	78	rust\translations\pcsx2-qt/Debugger/ThreadModel.rs	pending				
pcsx2-qt\Debugger\ThreadView.cpp	77	rust\translations\pcsx2-qt/Debugger/ThreadView.rs	pending				
pcsx2-qt\Debugger\ThreadView.h	19	rust\translations\pcsx2-qt/Debugger/ThreadView.rs	pending				
pcsx2-qt\DisplayWidget.cpp	433	rust\translations\pcsx2-qt/DisplayWidget.rs	pending				
pcsx2-qt\DisplayWidget.h	59	rust\translations\pcsx2-qt/DisplayWidget.rs	pending				
pcsx2-qt\EarlyHardwareCheck.cpp	38	rust\translations\pcsx2-qt/EarlyHardwareCheck.rs	pending				
pcsx2-qt\GameList\GameListModel.cpp	427	rust\translations\pcsx2-qt/GameList/GameListModel.rs	pending				
pcsx2-qt\GameList\GameListModel.h	79	rust\translations\pcsx2-qt/GameList/GameListModel.rs	pending				
pcsx2-qt\GameList\GameListRefreshThread.cpp	99	rust\translations\pcsx2-qt/GameList/GameListRefreshThread.rs	pending				
pcsx2-qt\GameList\GameListRefreshThread.h	50	rust\translations\pcsx2-qt/GameList/GameListRefreshThread.rs	pending				
pcsx2-qt\GameList\GameListWidget.cpp	845	rust\translations\pcsx2-qt/GameList/GameListWidget.rs	pending				
pcsx2-qt\GameList\GameListWidget.h	102	rust\translations\pcsx2-qt/GameList/GameListWidget.rs	pending				
pcsx2-qt\LogWindow.cpp	414	rust\translations\pcsx2-qt/LogWindow.rs	pending				
pcsx2-qt\LogWindow.h	48	rust\translations\pcsx2-qt/LogWindow.rs	pending				
pcsx2-qt\MainWindow.cpp	3309	rust\translations\pcsx2-qt/MainWindow.rs	pending				
pcsx2-qt\MainWindow.h	299	rust\translations\pcsx2-qt/MainWindow.rs	pending				
pcsx2-qt\PrecompiledHeader.cpp	3	rust\translations\pcsx2-qt/PrecompiledHeader.rs	pending				
pcsx2-qt\PrecompiledHeader.h	18	rust\translations\pcsx2-qt/PrecompiledHeader.rs	pending				
pcsx2-qt\QtHost.cpp	2170	rust\translations\pcsx2-qt/QtHost.rs	pending				
pcsx2-qt\QtHost.h	234	rust\translations\pcsx2-qt/QtHost.rs	pending				
pcsx2-qt\QtKeyCodes.cpp	578	rust\translations\pcsx2-qt/QtKeyCodes.rs	pending				
pcsx2-qt\QtProgressCallback.cpp	189	rust\translations\pcsx2-qt/QtProgressCallback.rs	pending				
pcsx2-qt\QtProgressCallback.h	72	rust\translations\pcsx2-qt/QtProgressCallback.rs	pending				
pcsx2-qt\QtUtils.cpp	482	rust\translations\pcsx2-qt/QtUtils.rs	pending				
pcsx2-qt\QtUtils.h	171	rust\translations\pcsx2-qt/QtUtils.rs	pending				
pcsx2-qt\Settings\AchievementLoginDialog.cpp	146	rust\translations\pcsx2-qt/Settings/AchievementLoginDialog.rs	pending				
pcsx2-qt\Settings\AchievementLoginDialog.h	28	rust\translations\pcsx2-qt/Settings/AchievementLoginDialog.rs	pending				
pcsx2-qt\Settings\AchievementSettingsWidget.cpp	239	rust\translations\pcsx2-qt/Settings/AchievementSettingsWidget.rs	pending				
pcsx2-qt\Settings\AchievementSettingsWidget.h	23	rust\translations\pcsx2-qt/Settings/AchievementSettingsWidget.rs	pending				
pcsx2-qt\Settings\AdvancedSettingsWidget.cpp	175	rust\translations\pcsx2-qt/Settings/AdvancedSettingsWidget.rs	pending				
pcsx2-qt\Settings\AdvancedSettingsWidget.h	19	rust\translations\pcsx2-qt/Settings/AdvancedSettingsWidget.rs	pending				
pcsx2-qt\Settings\AudioSettingsWidget.cpp	447	rust\translations\pcsx2-qt/Settings/AudioSettingsWidget.rs	pending				
pcsx2-qt\Settings\AudioSettingsWidget.h	34	rust\translations\pcsx2-qt/Settings/AudioSettingsWidget.rs	pending				
pcsx2-qt\Settings\BIOSSettingsWidget.cpp	112	rust\translations\pcsx2-qt/Settings/BIOSSettingsWidget.rs	pending				
