file	original_loc	target_rust_path	status	agent_id	started_at	completed_at	notes
3rdparty\ccc\src\ccc\symbol_file.cpp	101	rust\translations\3rdparty\3rdparty/ccc/src/ccc/symbol_file.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\symbol_file.h	53	rust\translations\3rdparty\3rdparty/ccc/src/ccc/symbol_file.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\symbol_table.cpp	250	rust\translations\3rdparty\3rdparty/ccc/src/ccc/symbol_table.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\symbol_table.h	144	rust\translations\3rdparty\3rdparty/ccc/src/ccc/symbol_table.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\util.cpp	163	rust\translations\3rdparty\3rdparty/ccc/src/ccc/util.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\ccc\src\ccc\util.h	304	rust\translations\3rdparty\3rdparty/ccc/src/ccc/util.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\deps\clog\include\clog.h	88	rust\translations\3rdparty\3rdparty/cpuinfo/deps/clog/include/clog.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\deps\clog\src\clog.c	401	rust\translations\3rdparty\3rdparty/cpuinfo/deps/clog/src/clog.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\include\cpuinfo-mock.h	62	rust\translations\3rdparty\3rdparty/cpuinfo/include/cpuinfo-mock.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\include\cpuinfo.h	2175	rust\translations\3rdparty\3rdparty/cpuinfo/include/cpuinfo.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\api.c	371	rust\translations\3rdparty\3rdparty/cpuinfo/src/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\android\api.h	18	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/android/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\android\properties.c	56	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/android/properties.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\api.h	121	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\cache.c	1773	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/cache.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\linux\aarch32-isa.c	348	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/linux/aarch32-isa.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\linux\aarch64-isa.c	200	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/linux/aarch64-isa.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\linux\api.h	357	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/linux/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\linux\chipset.c	4097	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/linux/chipset.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\linux\clusters.c	601	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/linux/clusters.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\linux\cp.h	44	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/linux/cp.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\linux\cpuinfo.c	972	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/linux/cpuinfo.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\linux\hwcap.c	138	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/linux/hwcap.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\linux\init.c	912	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/linux/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\linux\midr.c	972	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/linux/midr.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\mach\init.c	703	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/mach/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\midr.h	246	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/midr.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\tlb.c	152	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/tlb.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\uarch.c	461	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/uarch.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\windows\init-by-logical-sys-info.c	825	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/windows/init-by-logical-sys-info.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\windows\init.c	225	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/windows/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\arm\windows\windows-arm-init.h	62	rust\translations\3rdparty\3rdparty/cpuinfo/src/arm/windows/windows-arm-init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\cache.c	15	rust\translations\3rdparty\3rdparty/cpuinfo/src/cache.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\cpuinfo\common.h	34	rust\translations\3rdparty\3rdparty/cpuinfo/src/cpuinfo/common.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\cpuinfo\internal-api.h	55	rust\translations\3rdparty\3rdparty/cpuinfo/src/cpuinfo/internal-api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\cpuinfo\log.h	85	rust\translations\3rdparty\3rdparty/cpuinfo/src/cpuinfo/log.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\cpuinfo\utils.h	19	rust\translations\3rdparty\3rdparty/cpuinfo/src/cpuinfo/utils.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\emscripten\init.c	256	rust\translations\3rdparty\3rdparty/cpuinfo/src/emscripten/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\freebsd\api.h	9	rust\translations\3rdparty\3rdparty/cpuinfo/src/freebsd/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\freebsd\topology.c	94	rust\translations\3rdparty\3rdparty/cpuinfo/src/freebsd/topology.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\init.c	62	rust\translations\3rdparty\3rdparty/cpuinfo/src/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\linux\api.h	86	rust\translations\3rdparty\3rdparty/cpuinfo/src/linux/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\linux\cpulist.c	220	rust\translations\3rdparty\3rdparty/cpuinfo/src/linux/cpulist.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\linux\mockfile.c	91	rust\translations\3rdparty\3rdparty/cpuinfo/src/linux/mockfile.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\linux\multiline.c	102	rust\translations\3rdparty\3rdparty/cpuinfo/src/linux/multiline.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\linux\processors.c	533	rust\translations\3rdparty\3rdparty/cpuinfo/src/linux/processors.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\linux\smallfile.c	70	rust\translations\3rdparty\3rdparty/cpuinfo/src/linux/smallfile.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\log.c	183	rust\translations\3rdparty\3rdparty/cpuinfo/src/log.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\mach\api.h	10	rust\translations\3rdparty\3rdparty/cpuinfo/src/mach/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\mach\topology.c	61	rust\translations\3rdparty\3rdparty/cpuinfo/src/mach/topology.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\riscv\api.h	36	rust\translations\3rdparty\3rdparty/cpuinfo/src/riscv/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\riscv\linux\api.h	64	rust\translations\3rdparty\3rdparty/cpuinfo/src/riscv/linux/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\riscv\linux\init.c	563	rust\translations\3rdparty\3rdparty/cpuinfo/src/riscv/linux/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\riscv\linux\riscv-hw.c	177	rust\translations\3rdparty\3rdparty/cpuinfo/src/riscv/linux/riscv-hw.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\riscv\linux\riscv-isa.c	39	rust\translations\3rdparty\3rdparty/cpuinfo/src/riscv/linux/riscv-isa.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\riscv\uarch.c	25	rust\translations\3rdparty\3rdparty/cpuinfo/src/riscv/uarch.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\api.h	141	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\cache\descriptor.c	1824	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/cache/descriptor.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\cache\deterministic.c	235	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/cache/deterministic.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\cache\init.c	92	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/cache/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\cpuid.h	72	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/cpuid.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\freebsd\init.c	373	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/freebsd/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\info.c	15	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/info.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\init.c	66	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\isa.c	723	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/isa.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\linux\api.h	15	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/linux/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\linux\cpuinfo.c	196	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/linux/cpuinfo.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\linux\init.c	629	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/linux/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\mach\init.c	355	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/mach/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\mockcpuid.c	62	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/mockcpuid.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\name.c	729	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/name.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\topology.c	157	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/topology.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\uarch.c	433	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/uarch.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\vendor.c	172	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/vendor.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\windows\api.h	42	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/windows/api.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cpuinfo\src\x86\windows\init.c	615	rust\translations\3rdparty\3rdparty/cpuinfo/src/x86/windows/init.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\cmake\compile_tests\oss_is_v4.c	8	rust\translations\3rdparty\3rdparty/cubeb/cmake/compile_tests/oss_is_v4.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\include\cubeb\cubeb_export.h	9	rust\translations\3rdparty\3rdparty/cubeb/include/cubeb/cubeb_export.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\include\cubeb\cubeb.h	723	rust\translations\3rdparty\3rdparty/cubeb/include/cubeb/cubeb.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_alsa.c	1236	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_alsa.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_assert.h	22	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_assert.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_audiounit.cpp	3281	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_audiounit.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_jack.cpp	1048	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_jack.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_log.cpp	221	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_log.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_log.h	64	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_log.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_mixer.cpp	568	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_mixer.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_mixer.h	29	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_mixer.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_oss.c	1203	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_oss.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_osx_run_loop.cpp	30	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_osx_run_loop.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_osx_run_loop.h	20	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_osx_run_loop.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_pulse.c	1485	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_pulse.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_resampler_internal.h	556	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_resampler_internal.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_resampler.cpp	327	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_resampler.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_resampler.h	92	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_resampler.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_ring_array.h	119	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_ring_array.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_ringbuffer.h	443	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_ringbuffer.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_sndio.c	618	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_sndio.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_strings.c	121	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_strings.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_strings.h	38	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_strings.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_tracing.h	19	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_tracing.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_triple_buffer.h	81	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_triple_buffer.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_utils_unix.h	76	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_utils_unix.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_utils_win.h	58	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_utils_win.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_utils.cpp	23	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_utils.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_utils.h	268	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_utils.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_wasapi.cpp	3316	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_wasapi.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb_winmm.c	1007	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb_winmm.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb-internal.h	73	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb-internal.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb-jni-instances.h	26	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb-jni-instances.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb-jni.cpp	69	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb-jni.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb-jni.h	16	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb-jni.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb-speex-resampler.h	1	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb-speex-resampler.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\src\cubeb.c	713	rust\translations\3rdparty\3rdparty/cubeb/src/cubeb.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\subprojects\speex\arch.h	181	rust\translations\3rdparty\3rdparty/cubeb/subprojects/speex/arch.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\subprojects\speex\fixed_generic.h	83	rust\translations\3rdparty\3rdparty/cubeb/subprojects/speex/fixed_generic.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\subprojects\speex\resample_neon.h	326	rust\translations\3rdparty\3rdparty/cubeb/subprojects/speex/resample_neon.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\subprojects\speex\resample_sse.h	115	rust\translations\3rdparty\3rdparty/cubeb/subprojects/speex/resample_sse.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\subprojects\speex\resample.c	1099	rust\translations\3rdparty\3rdparty/cubeb/subprojects/speex/resample.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\subprojects\speex\speex_config_types.h	8	rust\translations\3rdparty\3rdparty/cubeb/subprojects/speex/speex_config_types.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\subprojects\speex\speex_resampler.h	294	rust\translations\3rdparty\3rdparty/cubeb/subprojects/speex/speex_resampler.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\cubeb\subprojects\speex\stack_alloc.h	94	rust\translations\3rdparty\3rdparty/cubeb/subprojects/speex/stack_alloc.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\d3d12memalloc\include\D3D12MemAlloc.h	2921	rust\translations\3rdparty\3rdparty/d3d12memalloc/include/D3D12MemAlloc.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\d3d12memalloc\src\D3D12MemAlloc.cpp	9211	rust\translations\3rdparty\3rdparty/d3d12memalloc/src/D3D12MemAlloc.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\demangler\include\ansidecl.h	306	rust\translations\3rdparty\3rdparty/demangler/include/ansidecl.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
3rdparty\demangler\include\cp-demangle.h	176	rust\translations\3rdparty\3rdparty/demangler/include/cp-demangle.rs	translated			2026-06-19T19.07.05	agent-3rdparty-batch
